Tamanho	Tempo1	Tempo2
8759	20077.916	50489.978

Tamanho	Tempo1	Tempo2
7323	19407.460	30601.198

Tamanho	Tempo1	Tempo2
9725	29493.676	70589.392

Tamanho	Tempo1	Tempo2
9351	29304.824	60386.666

Tamanho	Tempo1	Tempo2
6529	10167.296	20378.814

Tamanho	Tempo1	Tempo2
8249	19836.906	49732.790

Tamanho	Tempo1	Tempo2
6578	10293.844	29389.912

Tamanho	Tempo1	Tempo2
6675	10388.188	29548.884

Tamanho	Tempo1	Tempo2
5721	10049.534	10561.036

Tamanho	Tempo1	Tempo2
6922	10208.134	29958.112

